label,v2_f1,hardened_f1,difference,test_support
happiness,0.7538461538461538,0.75,-0.0038461538461538325,62
sadness,0.6666666666666666,0.6875,0.02083333333333337,64
loneliness,0.9090909090909091,0.8695652173913043,-0.03952569169960474,11
anxiety,0.7107438016528925,0.7394957983193278,0.028751996666435242,59
anger,0.47058823529411764,0.532258064516129,0.06166982922201136,62
cognitive_fog,0.421875,0.45528455284552843,0.033409552845528434,61
neutral,0.38181818181818183,0.46153846153846156,0.07972027972027973,62
