threshold,ml_coverage,ml_accepted_accuracy,fallback_rate,fallback_correctness,overall_hybrid_correctness
0.3,0.9020227560050569,0.6405045550105115,0.0979772439949431,0.3096774193548387,0.6080910240202275
0.35,0.7895069532237674,0.6853482786228983,0.21049304677623262,0.30930930930930933,0.6061946902654868
0.4,0.6460176991150443,0.7416829745596869,0.35398230088495575,0.30892857142857144,0.588495575221239
0.45,0.5221238938053098,0.8220338983050848,0.4778761061946903,0.3029100529100529,0.5739570164348925
0.5,0.4361567635903919,0.8652173913043478,0.5638432364096081,0.29596412556053814,0.5442477876106194
