epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,830.126,0.72745,0.85932,0.87384,0.9432,0.92374,0.9688,0.81508,0.53754,0.49072,0.81871,0.000666162,0.000666162,0.000666162
2,2742.38,0.64984,0.50602,0.85339,0.96762,0.93822,0.97741,0.8608,0.46101,0.37788,0.79989,0.000892995,0.000892995,0.000892995
3,10238.5,0.59471,0.43066,0.84363,0.97038,0.95495,0.98372,0.87856,0.44261,0.32864,0.7975,0.000679828,0.000679828,0.000679828
