model,config_id,C,word_ngram,word_min_df,sublinear_tf,char_ngram,char_min_df,cv_accuracy_mean,cv_macro_precision_mean,cv_macro_recall_mean,cv_macro_f1_mean,cv_weighted_f1_mean,cv_macro_f1_std,alpha
linear_svm_calibrated,3,0.5,"(1, 2)",1,True,"(3, 6)",1,0.5992093599009702,0.6417174838388565,0.6250711404912475,0.6306169798734145,0.6019269049519568,0.02978904391344666,
logistic_regression,0,0.5,"(1, 2)",1,True,"(3, 6)",1,0.5916363854170826,0.6341644629232295,0.6146795582796861,0.6199093894508045,0.5960427003857218,0.027923214264866467,
multinomial_naive_bayes,6,,"(1, 1)",1,False,"(3, 5)",1,0.5581200335423072,0.6197532589808162,0.5477051918692678,0.5626157050756603,0.5552860041769319,0.03941681010333093,0.25
