config_id,model,C,word_ngram,word_min_df,sublinear_tf,char_ngram,char_min_df,cv_accuracy_mean,cv_macro_precision_mean,cv_macro_recall_mean,cv_macro_f1_mean,cv_weighted_f1_mean,cv_macro_f1_std,alpha
0,logistic_regression,0.5,"(1, 2)",1,True,"(3, 6)",1,0.5916363854170826,0.6341644629232295,0.6146795582796861,0.6199093894508045,0.5960427003857218,0.027923214264866467,
1,logistic_regression,1.0,"(1, 2)",2,True,"(4, 6)",2,0.5897276684103343,0.6323483340608862,0.611725475283281,0.618376991096917,0.5943412472135939,0.029070358476878336,
2,logistic_regression,2.0,"(1, 2)",2,True,"(4, 6)",2,0.5846803497983468,0.6287047157977961,0.604296169027227,0.6133270040783068,0.5893108666745831,0.022940138510260086,
3,linear_svm_calibrated,0.5,"(1, 2)",1,True,"(3, 6)",1,0.5992093599009702,0.6417174838388565,0.6250711404912475,0.6306169798734145,0.6019269049519568,0.02978904391344666,
4,linear_svm_calibrated,1.0,"(1, 2)",2,True,"(4, 6)",2,0.5935271333306712,0.635134128813116,0.6187892208331421,0.624458083629073,0.5960861740061038,0.02218977072741522,
5,linear_svm_calibrated,2.0,"(1, 2)",2,True,"(4, 6)",2,0.585946172583157,0.6303134823876431,0.610650607145909,0.6177593833950621,0.5886766605475304,0.020218481620384747,
6,multinomial_naive_bayes,,"(1, 1)",1,False,"(3, 5)",1,0.5581200335423072,0.6197532589808162,0.5477051918692678,0.5626157050756603,0.5552860041769319,0.03941681010333093,0.25
7,multinomial_naive_bayes,,"(1, 2)",1,True,"(3, 6)",1,0.5625564029868626,0.6367557297781641,0.5310149570029188,0.5436971742401274,0.5593928001655627,0.035100069137895366,0.5
8,multinomial_naive_bayes,,"(1, 2)",2,True,"(4, 6)",2,0.5669827896018848,0.6400553682574333,0.5320533657425114,0.5424399506208202,0.5629448125276353,0.04107811208278932,1.0
