architecture,checkpoint,learning_rate,epochs,seed,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,best_epoch,seconds
v3_svm_reference,preserved_v3,,,42,0.8129770992366412,0.8411320871864556,0.8481725417439703,0.8329144172009012,0.8178282525090512,,
distilroberta,distilbert/distilroberta-base,1e-05,3.0,42,0.1316793893129771,0.2511677018633541,0.1657142857142857,0.0650551650297062,0.0697129273463249,3.0,660.0798820999917
distilroberta,distilbert/distilroberta-base,2e-05,4.0,42,0.6106870229007634,0.5815615776627047,0.629121976406343,0.5850502886727769,0.6113539152486858,4.0,1550.821317599999
distilroberta,distilbert/distilroberta-base,3e-05,5.0,42,0.6851145038167938,0.6718213287847854,0.708218398851822,0.6764128698024798,0.6895858356203114,5.0,963.7681587999978
deberta_v3_small,microsoft/deberta-v3-small,1e-05,3.0,42,0.15267175572519084,0.021810250817884406,0.14285714285714285,0.03784295175023652,0.04044284919872605,1.0,435.2034521000169
deberta_v3_small,microsoft/deberta-v3-small,2e-05,4.0,42,0.383587786259542,0.44587171913299734,0.34906421745370536,0.32141508119675954,0.34406370695410493,4.0,771.7890065000101
deberta_v3_small,microsoft/deberta-v3-small,3e-05,5.0,42,0.5477099236641222,0.5210775960815593,0.5676177057443904,0.5115970812277886,0.5551287937607494,5.0,47531.52726520001
