model,threshold,ml_coverage,accepted_prediction_accuracy,fallback_rate,hybrid_overall_correctness
v3_retained_no_v4_deployed,0.3,0.9637404580152672,0.8138613861386138,0.03625954198473282,0.7977099236641222
v3_retained_no_v4_deployed,0.35,0.9198473282442748,0.8360995850622407,0.08015267175572519,0.7977099236641222
v3_retained_no_v4_deployed,0.4,0.8740458015267175,0.8602620087336245,0.12595419847328243,0.8015267175572519
v3_retained_no_v4_deployed,0.45,0.816793893129771,0.8995327102803738,0.183206106870229,0.799618320610687
v3_retained_no_v4_deployed,0.5,0.7805343511450382,0.9290953545232273,0.21946564885496184,0.8034351145038168
v3_retained_no_v4_deployed,0.55,0.7309160305343512,0.9477806788511749,0.26908396946564883,0.7862595419847328
v3_retained_no_v4_deployed,0.6,0.6526717557251909,0.9736842105263158,0.3473282442748092,0.7404580152671756
