architecture,checkpoint,learning_rate,epochs,seed,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,best_epoch,seconds
v3_svm_reference,preserved_v3,,,42,0.8129770992366412,0.8411320871864556,0.8481725417439703,0.8329144172009012,0.8178282525090512,,
deberta_v3_small,microsoft/deberta-v3-small,3e-05,5.0,42,0.5477099236641222,0.5210775960815593,0.5676177057443904,0.5115970812277886,0.5551287937607494,5.0,47531.52726520001
distilroberta,distilbert/distilroberta-base,3e-05,5.0,42,0.6851145038167938,0.6718213287847854,0.708218398851822,0.6764128698024798,0.6895858356203114,5.0,963.7681587999978
