test,metric,v3,minilm_candidate,difference
original,accuracy,0.6141732283464567,0.5459317585301837,-0.06824146981627299
original,macro_f1,0.642234584944393,0.5648650357341979,-0.07736954921019512
original,macro_recall,0.6490436426098437,0.5888884839828314,-0.06015515862701226
original,weighted_f1,0.6117669601866313,0.5408848549048549,-0.07088210528177641
domain,accuracy,0.6,0.8142857142857143,0.2142857142857143
domain,macro_f1,0.5869150969150968,0.8165781179245072,0.22966302100941038
domain,macro_recall,0.5999999999999999,0.8142857142857143,0.2142857142857144
domain,weighted_f1,0.5869150969150969,0.8165781179245071,0.22966302100941016
