threshold,coverage,accepted_accuracy,fallback_rate,fallback_accuracy,hybrid_correctness
0.3,0.833969465648855,0.6407322654462243,0.16603053435114504,0.28735632183908044,0.5820610687022901
0.35,0.6812977099236641,0.6918767507002801,0.3187022900763359,0.32335329341317365,0.5744274809160306
0.4,0.5419847328244275,0.7394366197183099,0.4580152671755725,0.29583333333333334,0.5362595419847328
0.45,0.4217557251908397,0.8054298642533937,0.5782442748091603,0.31353135313531355,0.5209923664122137
0.5,0.33969465648854963,0.8764044943820225,0.6603053435114504,0.30346820809248554,0.49809160305343514
0.55,0.2729007633587786,0.916083916083916,0.7270992366412213,0.30183727034120733,0.46946564885496184
0.6,0.21374045801526717,0.9107142857142857,0.7862595419847328,0.28398058252427183,0.4179389312977099
