,year,month,num_reactions,num_drugs,patient_age_years,report_age_days
year,1.0,9.479419796400831e-14,0.1496972964260741,0.13079106716723762,-0.06830328988602383,-0.9958532582595944
month,9.479419796400831e-14,1.0,0.025680765844301782,0.02553587626353954,-0.008127619797780818,-0.0906627685947549
num_reactions,0.1496972964260741,0.025680765844301782,1.0,0.3286982237362742,-0.034823920226502866,-0.15149948847705022
num_drugs,0.13079106716723762,0.02553587626353954,0.3286982237362742,1.0,0.014647958622066972,-0.13263793828546647
patient_age_years,-0.06830328988602383,-0.008127619797780818,-0.034823920226502866,0.014647958622066972,1.0,0.06885575016168358
report_age_days,-0.9958532582595944,-0.0906627685947549,-0.15149948847705022,-0.13263793828546647,0.06885575016168358,1.0
