model,run,epochs_completed,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),best_weights_mb,deployment_score,train_seconds,results_csv,best_weights
yolo11n.pt,pill_detector_compare_yolo11n,1,0.28307,0.10120,0.09191,0.06770,5.17886,0.01307,,D:\Document\SLIIT\Research\Project\ElderMeds\backend\ml\runs\detect\model_compare_quick\pill_detector_compare_yolo11n\results.csv,D:\Document\SLIIT\Research\Project\ElderMeds\backend\ml\runs\detect\model_compare_quick\pill_detector_compare_yolo11n\weights\best.pt
yolo11s.pt,pill_detector_compare_yolo11s,1,0.26522,0.51830,0.19884,0.15670,18.24917,0.00859,,D:\Document\SLIIT\Research\Project\ElderMeds\backend\ml\runs\detect\model_compare_quick\pill_detector_compare_yolo11s\results.csv,D:\Document\SLIIT\Research\Project\ElderMeds\backend\ml\runs\detect\model_compare_quick\pill_detector_compare_yolo11s\weights\best.pt
yolo11m.pt,pill_detector_compare_yolo11m,1,0.39163,0.27280,0.22682,0.17177,38.59819,0.00445,,D:\Document\SLIIT\Research\Project\ElderMeds\backend\ml\runs\detect\model_compare_quick\pill_detector_compare_yolo11m\results.csv,D:\Document\SLIIT\Research\Project\ElderMeds\backend\ml\runs\detect\model_compare_quick\pill_detector_compare_yolo11m\weights\best.pt
